IDX	Sector	Specialisation	Occupation	Object	URL type (Type NA if can't find)	LICENSE OK?	Occupation_Gender	Error codes	Annotator
OO_1	education	institutional	teacher	board	https://images.pexels.com/photos/8617942/pexels-photo-8617942.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	maculine		Siobhan
OO_2	education	institutional	teacher	board	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROgDcTNuT_A3z8KkFrjcuzsq4-MZZFySdSFA&usqp=CAU	Yes	maculine		Siobhan
OO_3	education	institutional	teacher	board	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcIdyhd6UJ8dRLhoIoHgJimngHf4MQyhbWJA&usqp=CAU	Yes	maculine		Siobhan
OO_4	education	institutional	teacher	board	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTC66JtzfvpfmaAgxr3TwuwDFY9lX4n11RoHqu_AarqHtXQT7sKMAX6ZTKcUQYjtVCRqcE&usqp=CAU	Yes	maculine		Siobhan
OO_5	education	institutional	teacher	board	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2eTfKwZwIVO-Ovbp4aK3bnih9h47ndr-dwQ&usqp=CAU	Yes	maculine		Siobhan
OO_6	education	institutional	teacher	board	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfW68TulSqpJzXyH9aHjT7HNIz7fMo4X8LOA&usqp=CAU	Yes	feminine		Siobhan
OO_7	education	institutional	teacher	board	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjBqj_v22qrzX6TyH5ETqqUclMSycA-t5eBA&usqp=CAU	Yes	feminine		Siobhan
OO_8	education	institutional	teacher	board	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdIZWUyKnzcqQZLZ5a3b0LEiRUr6r3j9RIoA&usqp=CAU	Yes	feminine		Siobhan
OO_9	education	institutional	teacher	board	https://images.pexels.com/photos/8500346/pexels-photo-8500346.jpeg?auto=compress&cs=tinysrgb&w=600	Yes	feminine		Siobhan
OO_10	education	institutional	teacher	board	https://images.pexels.com/photos/8500408/pexels-photo-8500408.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	feminine		Siobhan
OO_11	education	general_courses	instructor	equipment	https://images.pexels.com/photos/8173491/pexels-photo-8173491.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	maculine		Siobhan
OO_12	education	general_courses	instructor	equipment	https://images.pexels.com/photos/6292457/pexels-photo-6292457.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1	Yes	maculine		Siobhan
OO_13	education	general_courses	instructor	equipment	https://images.pexels.com/photos/6767251/pexels-photo-6767251.jpeg?auto=compress&cs=tinysrgb&w=600	Yes	maculine		Siobhan
OO_14	education	general_courses	instructor	equipment	https://images.pexels.com/photos/7207347/pexels-photo-7207347.jpeg?auto=compress&cs=tinysrgb&w=600	Yes	maculine		Siobhan
OO_15	education	general_courses	instructor	equipment	https://images.pexels.com/photos/4325450/pexels-photo-4325450.jpeg?auto=compress&cs=tinysrgb&w=600	Yes	maculine		Siobhan
OO_16	education	general_courses	instructor	equipment	https://images.pexels.com/photos/8939949/pexels-photo-8939949.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	feminine		Siobhan
OO_17	education	general_courses	instructor	equipment	https://images.pexels.com/photos/6740056/pexels-photo-6740056.jpeg?auto=compress&cs=tinysrgb&w=600	Yes	feminine		Siobhan
OO_18	education	general_courses	instructor	equipment	https://images.pexels.com/photos/13978142/pexels-photo-13978142.jpeg?auto=compress&cs=tinysrgb&w=600&lazy=load	Yes	feminine		Siobhan
